Comment,Designator,Footprint,LCSC
100 @ 100MHz,"FB1,FB2",L_0805_2012Metric,C1015
1k,"R2,R3",R_0402_1005Metric,C11702
USB_B_Micro,J1,USB_Micro-B_Molex_47346-0001,C132560
10n,C11,C_0402_1005Metric,C15195
100n,"C10,C13,C9",C_0402_1005Metric,C1525
1u,"C12,C14,C6,C7,C8",C_0603_1608Metric,C15849
10u,"C1,C2,C3,C4",C_0603_1608Metric,C19702
RED,"D1,D2,D3,D4",LED_0603_1608Metric,C2286
100,R1,R_0402_1005Metric,C25076
10k,R4,R_0402_1005Metric,C25744
2k2,"R5,R6",R_0402_1005Metric,C25879
USBLC6-2SC6,U3,SOT-23-6,C2827654
10pF,C5,C_0402_1005Metric,C32949
R_Potentiometer,RV1,Potentiometer_Bourns_3296W_Vertical,C34846
LM386,U2,SOIC-8_3.9x4.9mm_P1.27mm,C510560
XC6206P332MR,U1,SOT-23,C5446
STM32L432KBU6,U4,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C94784
